,0,1,2,3,4
0,2.59357,-0.38994786,-1.3515717,0.609199,-0.20409127
1,-2.6114488,0.89437324,1.2562028,-0.84520584,-0.1671579
2,0.88054025,0.059624553,-0.81276786,-0.73597807,-0.14350912
3,-0.16853778,1.2368664,-0.18061854,0.21427582,-0.63749593
4,1.8756005,0.020201068,-0.5375092,-0.2333757,-0.10306554
5,-0.723761,0.7355831,0.34489587,-0.791877,0.12756181
6,1.7254001,-0.79139805,-1.5547655,0.928357,0.009110735
7,-1.9894357,-0.28173172,0.3309529,-0.46841222,-1.1878086
8,-1.5337936,2.2154496,-0.56940854,-0.3764485,-0.054583993
9,0.765761,0.15050209,-0.11325735,-1.2596861,0.019958055
10,-0.7121346,0.7204819,0.14517069,-0.54924005,-0.5837203
11,-0.3305171,1.3451008,0.8802007,0.4399083,-0.19570264
12,3.3497005,0.10910982,1.6729966,0.30663252,0.13794339
13,0.3659984,-0.39624208,-1.1939095,0.098271266,0.2755361
14,1.0230942,2.5741396,-1.622264,1.7779343,-1.2170296
15,-3.0258107,-0.19558094,0.41570905,0.54531264,-0.56457055
16,-2.268827,0.3599898,0.99411774,-1.7147825,-0.6272032
17,-1.9246138,-0.101975866,-0.3701555,0.52730805,-0.52724355
18,1.0798723,0.30135408,0.47692657,0.3063789,0.47807357
19,-1.6272174,0.24848078,-0.35970148,0.008576955,0.26023814
20,-0.93711877,1.1520935,-0.65066713,1.0640129,-0.43610558
21,1.6483352,-0.42298535,0.23429392,-0.6925383,0.6020198
22,-2.3048825,-0.48199594,0.36773497,-2.091349,0.024376426
23,0.270322,1.0077293,-0.6664173,-0.13528147,1.9493134
24,-2.57505,-0.6580641,-1.1474001,0.93849766,0.17758387
25,1.3907213,-2.219855,-0.3412391,-1.2142733,0.6482208
26,0.90167624,-0.3647729,0.17986816,-1.1438457,0.69891554
27,2.9659233,-0.21656659,-1.2437848,0.17922829,0.8250444
28,2.7251065,-1.108863,1.4120567,-0.47685152,0.8899517
29,-1.9628941,0.25035134,2.5875232,0.9319356,-0.51085395
30,3.5505593,-0.39076534,-1.1573215,-0.52156407,-0.5357133
31,-1.2111573,1.7266504,1.3109803,1.3981245,-0.079281814
32,1.2955254,-0.45581615,-1.8417503,-0.34763023,-0.7395639
33,-0.89901876,-0.32353547,0.6511629,-0.21356837,0.05717683
34,1.3626512,-0.15583484,-1.1219004,-0.3468303,0.7526164
35,-1.5981156,-0.90700734,-0.4097951,0.43941018,-0.09360553
36,-0.72260934,1.8762075,-1.4344532,0.3913406,0.584607
37,-2.0604908,-0.12620583,-0.4035995,0.8310368,-0.9383352
38,-2.816871,-1.8895898,-1.0899564,-1.6912944,-1.8792211
39,0.88654995,1.8155682,0.45250452,1.195346,-0.82508516
40,-0.15754324,1.7177413,-0.37028104,0.66291505,-0.62208426
41,0.8271662,-0.8807501,1.3009427,-0.31162977,0.8819344
42,1.3929684,0.85537106,0.44208023,0.7093411,-0.5304595
43,0.2822606,1.1939181,0.20504953,-0.3728727,-0.40182805
44,-1.1162926,1.7293563,0.80583113,0.38049236,0.31243196
45,0.15153496,0.35084468,0.5330292,-1.3919114,-0.17369492
46,-1.2436961,1.8260318,-0.29722643,0.9045722,-0.043290526
47,-1.3979126,-0.6000568,-1.2852049,-0.58590066,1.3453273
48,0.37222567,-2.231814,0.015621033,-0.2676724,-0.24857357
49,-0.0112527935,0.43663335,0.5710949,-1.0738068,-0.42210144
50,1.1929016,-2.4222414,-0.6024147,-1.3425833,0.50129896
51,0.8565287,0.45632938,-0.7353404,-0.49400595,-0.7098726
52,-0.14851306,0.6120779,1.2169108,-0.6235878,0.1613332
53,0.25488245,0.9203286,-0.019300679,-0.92259496,0.20264071
54,-0.85317045,-1.5477935,-0.6463988,-0.13862164,0.6706101
55,-0.2170902,0.41109604,0.75470537,-0.57629305,-0.6848241
56,0.97542644,0.10840281,-0.42116383,-0.56288624,-0.43537763
57,-1.0819633,-0.8281596,0.1966526,1.12961,-0.19283667
58,-2.220659,1.9931375,-0.07964559,0.22680858,-0.23335217
59,1.6118575,-0.26771924,-1.3739531,0.038628757,0.89421207
60,-1.5091391,-0.09993003,-0.79718655,0.5138196,-1.8712921
61,0.44131702,-0.19734424,-0.8677755,0.3686606,0.16991822
62,2.100532,-0.6968531,-1.0452005,0.12580462,1.1446667
63,-0.3345476,0.437048,-0.08792813,-0.23460115,-0.9609641
64,1.0878106,0.19434875,-0.6886994,0.58073986,1.4071033
65,0.6883302,-0.16031326,-0.029826652,-0.0034717047,-0.70008594
66,2.271174,0.78051776,1.7430713,0.13854213,0.71747386
67,-0.282663,-0.028038675,-2.7993743,0.7983911,-0.85631466
68,-1.5159867,-0.31352767,0.4908921,-1.3826379,0.6483937
69,2.9600194,-0.123691365,1.819891,-0.5862408,0.079126745
70,-2.2259927,-0.21864268,-0.05039235,1.0883075,-0.90638155
71,1.0363861,0.97192395,-0.3607947,-0.35877177,-0.51260847
72,-2.993935,0.5657857,0.6854063,0.076520905,-1.3326598
73,-2.5528345,-1.2818271,-0.18285368,0.694334,-0.95351344
74,-1.4682492,0.02301843,0.30886963,0.650823,-0.32752323
75,-0.48982498,-0.057229646,1.5202367,-0.7887844,0.26636088
76,1.3944296,-0.064345375,-0.36525878,0.387757,-0.28003386
77,3.3369522,1.9065312,0.5354656,0.8459332,-1.3950298
78,0.65689015,-0.20880727,0.25001207,-0.9364542,-0.67783403
79,0.75720495,-0.24528375,-0.36599845,-1.4089161,0.87732613
80,-1.313389,0.014147449,0.093638584,0.5723662,-0.20387474
81,-0.98706204,-1.6775963,-1.144549,0.21032593,-1.31448
82,-1.7892717,0.45625156,0.50168836,0.4464958,0.27319965
83,1.4561795,0.45816505,0.05850197,0.24198517,-0.43125966
84,-0.46759614,2.0003967,0.69537216,0.5676328,-0.5301695
85,-1.0059061,0.5967989,1.0926563,-1.033365,0.071553685
86,4.397146,0.32924172,0.40243232,0.17426744,-1.7944407
87,-1.2786783,0.10572122,1.338061,0.8050706,0.3649391
88,4.6476116,-1.3941563,-0.8919313,0.5892779,-1.325008
89,-0.25726765,1.1763363,-0.41452786,-0.600573,-0.6120361
90,-0.8314293,1.1791878,0.4901737,-0.33106256,-0.11323615
91,1.6464481,-0.6332611,-0.4855915,-1.1459534,-0.7062957
92,0.02739835,-0.20800367,0.75824803,-1.8112477,0.86544466
93,1.5570964,1.8961755,-1.0247498,0.6539556,0.6142929
94,-0.63682765,-0.42091423,0.1774025,-0.59312004,0.8366725
95,0.14259991,-0.27803567,-0.09770418,-0.17754313,0.13948427
96,0.056448374,-0.20819917,1.5682064,-2.1863854,-0.068585776
97,0.2564908,0.16602829,-0.8846115,0.21279259,1.3580981
98,1.9429226,-1.8407905,-0.98955196,0.15569977,-0.30979982
99,2.355246,1.190701,-1.0250499,0.2366332,-1.3357835
100,0.19588912,-0.25912723,-2.2532241,-0.42908397,1.0350049
101,-1.0433033,-0.7679771,0.2665919,0.47219065,-0.35057828
102,0.18692425,-0.5586279,-0.378158,-0.3139755,-0.64151835
103,4.3333263,0.97770506,2.6747687,-0.60001737,-0.9557393
104,-1.033849,-0.36114955,-0.056077745,-0.12174182,0.16504918
105,0.68076295,-0.3401158,0.20156302,-1.0051547,0.87642634
106,-0.14240782,-1.7235281,0.38804764,-1.2774112,-0.093122534
107,1.0650911,-1.1012392,-0.5311066,0.15344799,0.06714599
108,-0.7991468,0.5897712,-0.75870806,0.6934742,-0.06187292
109,-1.4756591,-0.92108613,0.058698338,0.16447313,-1.0426463
110,0.25680843,0.41057953,0.4154971,-1.1953834,0.8528048
111,0.55161345,0.82485086,-0.17638686,-0.23114315,-0.078928895
112,0.22844835,0.79796106,-1.2784772,0.23006514,0.15652865
113,-0.15418223,1.3890698,-0.47241664,-0.20761362,-0.289008
114,0.04755546,1.1164181,-0.5613163,-0.20385185,-0.14670992
115,-0.13742603,1.0171772,-0.7185333,0.080529794,-0.7042502
116,0.38382396,1.4960093,-0.4497388,0.11320647,-0.060334966
