,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,Labels
0,-0.18635157,-0.3828458,-0.2660139,-0.22763799,-0.0011156875,0.020445118,0.14028063,-0.024903396,0.1904024,-0.008530652,0.099747635,-0.08386126,-0.035017774,0.03887853,-0.20043728,-0.06930468,-0.0045901746,-0.16491044,0.07259634,-0.14365785,0.18907076,-0.0042704623,0.02561938,-0.085820064,0.0039024046,Address
1,0.1415335,-0.13479085,-0.41159394,-0.000118700234,-0.21130958,0.17870753,-0.08741894,-0.08661112,0.01833861,-0.120826624,-0.04630736,0.2872679,0.06337153,-0.010184379,0.102347635,0.05019061,-0.0062992466,0.11755377,-0.031702418,0.02556716,0.0657781,-0.0032562148,0.071097806,-0.10016121,0.039836295,Address
2,-0.085183546,-0.14461698,-0.32347658,-0.110389456,-0.19874285,-0.13398348,0.16596723,-0.03819193,-0.22216767,0.092377335,0.087264016,-0.11468339,0.0566158,-0.2259959,-0.061168496,0.032634452,0.0137380855,0.14064515,0.09457097,-0.05055136,-0.056958683,0.07976575,0.017086776,0.16252077,-0.18232065,Address
3,0.043749347,-0.0025392282,-0.3957371,-0.241448,-0.037752572,0.077053934,-0.1072615,0.06513042,0.0018972103,-0.14887014,0.027866835,0.13883947,-0.116896614,0.0050309515,-0.10865463,0.0063550966,-0.040936887,-0.05740513,-0.046072856,-0.061876014,-0.032072276,0.02479037,-0.030914495,-0.04367093,0.02805054,Address
4,0.21553016,0.062619716,-0.014109932,0.06702784,-0.36304805,-0.11979445,0.11853897,-0.024493488,-0.03385717,0.18676937,-0.02582286,-0.34596023,0.032941796,0.37058467,-0.0215778,-0.1331356,-0.039310858,0.058126453,-0.20776774,-0.018497039,0.040127154,0.13590322,-0.11074019,0.002766918,-0.060565557,Address
5,-0.28085825,-0.4884372,0.4632831,0.3568107,-0.04322883,0.1696236,0.33657923,-0.12512165,0.0996127,-0.29488495,0.02398518,-0.18224092,0.0011122407,0.010434101,-0.12610497,0.055179525,0.0055135824,-0.1741709,-0.026464507,0.053724553,-0.07472004,-0.17925906,-0.059627324,-0.16043726,-0.06054651,Address
6,-0.642971,-0.056062102,0.26465228,0.021544933,-0.18688539,-0.14155124,0.28247902,0.24313065,-0.18581118,0.018345885,0.14436854,-0.0035762638,-0.0054568616,-0.048582897,-0.16338311,0.064264685,0.11755485,0.03949712,-0.04576857,0.0051520714,0.10013201,-0.049661484,-0.04925056,-0.0003220158,0.15629126,Address
7,0.18299718,-0.02792018,-0.24075308,0.5329199,0.034858,0.2665477,0.05836718,0.044137858,0.3912705,0.047507677,0.22961211,0.12498529,-0.12299368,0.009433156,0.10226844,0.056311876,-0.08928812,0.0846206,0.004086247,0.018462565,-0.009275866,0.011859398,-0.09156387,-0.060348522,0.12176032,Address
8,0.13112971,0.017054703,0.027590698,-0.097288474,-0.2822951,-0.2573526,0.1022739,-0.055585995,0.09812849,0.12725298,-0.3621077,-0.33517274,0.20507611,-0.010940245,-0.09567551,0.10168853,0.17116351,0.11143366,0.05905556,0.02778207,0.062229358,0.15337358,-0.11511233,0.12860212,-0.13166651,Address
9,0.29780492,-0.15104125,-0.25855568,-0.23840332,0.16533937,0.23168501,-0.12705046,-0.16873626,-0.27497885,0.17129372,0.061061736,0.051429007,-0.038926333,-0.056526143,0.060297877,0.11689262,0.11548475,-0.1538881,0.04029481,0.019190297,-0.013422735,0.033913516,0.12877373,-0.07810196,0.006722594,Address
10,-0.33855572,0.19032305,-0.027587706,0.7078995,0.26044703,-0.080993555,-0.21039535,-0.10111288,0.36157143,-0.12338195,0.15737395,0.1934345,-0.050386,-0.3387528,0.27663717,-0.1289355,-0.034658983,0.23838985,-0.07970194,-0.11416708,0.05942112,-0.015275682,0.18308575,0.12968542,-0.13353111,Address
11,-0.17165397,0.1859896,0.090570964,0.13534218,-0.25239918,-0.08235802,-0.2967891,0.2939113,0.081423305,-0.18495953,0.13210978,0.053734772,-0.10931895,0.07929172,0.11421745,-0.12675734,0.03658931,0.0731678,-0.20295064,0.015157429,0.003802587,0.08145595,0.19333912,0.05014373,-0.002617429,Address
12,0.065937296,0.03398457,0.0529809,-0.10489282,0.07020515,-0.15085097,-0.31058413,-0.18373066,-0.014311462,-0.17739376,-0.07774083,0.059117284,-0.30388445,0.21616732,0.228998,-0.031137176,0.03606775,-0.032840293,0.0404208,-0.035056412,0.05621259,-0.07206799,0.05908287,0.13496417,0.0009080853,Address
13,0.14592983,-0.040759344,-0.20326309,-0.51105434,0.20072263,0.15967423,0.02423078,-0.0627014,-0.042050928,-0.115401655,0.0775451,-0.02791968,0.19195707,-0.14184174,0.11326586,-0.024346065,-0.09032042,-0.0420467,0.055421703,0.041812975,-0.026679564,0.090868704,0.0692476,-0.023557046,0.08261974,Address
14,-0.17326126,0.45119628,-0.37774238,-0.051845863,0.18456814,0.04143449,0.22024249,-0.21086739,0.3278859,-0.034885217,0.06157971,-0.007842325,-0.22859208,-0.06311775,0.016479742,-0.016324416,0.063318454,0.15542273,-0.16929172,0.17478625,-0.03203172,0.16961971,-0.023489403,-0.10367865,0.05216445,Address
15,-0.54923296,0.024016768,-0.22155924,-0.21880132,0.10392788,0.17479067,0.15888692,0.17825393,0.14221343,0.24067707,0.07818251,-0.21097477,-0.0030524076,0.0073708165,0.120000884,-0.20807694,0.12066089,0.086215265,0.13254856,-0.064127535,-0.1081841,-0.0016158606,0.03035543,-0.05958842,0.17541134,Address
16,0.035743672,0.27842063,0.6078559,-0.262255,0.065309785,-0.39994955,-0.28656262,-0.21230733,0.2597675,-0.12320211,0.20908219,-0.007079395,-0.07023712,-0.07370181,-0.029248342,0.121173196,0.1575243,-0.042650294,-0.024104541,-0.078007996,0.062174253,-0.007030293,-0.13614978,0.002482752,-0.16858059,Address
17,-0.16888154,-0.0686019,-0.27422568,-0.1716638,-0.25654295,0.113365814,-0.10941512,0.19263338,-0.019356819,-0.12368568,-0.025483169,-0.25730973,0.04326027,0.32612655,0.0809785,-0.017986521,0.02307977,0.014490583,-0.0016312056,0.05390841,0.057861503,-0.0010791388,-0.0029862286,0.10656862,-0.0121392775,Address
18,0.30843493,-0.28157514,0.9404245,0.46284702,-0.07443393,0.23925114,-0.2015078,0.066640936,0.09522884,-0.11474906,-0.28639683,-0.09737693,0.1830432,-0.11638924,-0.014587326,-0.27329537,0.12655652,0.11847064,-0.12681012,0.20724323,0.12149243,0.13814981,0.06154395,0.075244546,-0.055219106,Address
19,-0.115411095,-0.45349512,-0.100081794,-0.049117286,-0.24180308,0.047837134,0.18424127,0.0077954233,-0.17789397,-0.130774,-0.048132796,-0.22236308,0.04367192,-0.06562163,0.005538844,0.16293365,-0.09597276,-0.055915687,0.030117802,-0.0150264045,0.10087457,-0.018131085,-0.01610792,0.06251228,-0.1460048,Address
20,0.05898493,0.2542291,-0.3364967,-0.008199574,-0.051547028,0.19499967,0.00031482897,-0.006072007,-0.12313089,-0.057362568,-0.09120188,-0.02655207,-0.13158031,-0.1823086,-0.2701057,-0.07901731,-0.14602762,0.07260011,0.13420478,0.08545709,0.1499664,-0.08969679,0.049024202,-0.15584113,0.014444496,Address
21,-0.020024646,0.11376985,0.20439282,-0.17141867,-0.12153797,-0.03556073,0.01126651,0.22713849,-0.20456721,0.2689645,0.20192714,0.35938773,-0.2208872,-0.106996804,-0.08906437,-0.019120319,0.21407051,-0.15205052,0.058325518,-0.026471514,-0.031376347,0.09056587,-0.0053041484,-0.12269036,-0.09899907,Address
22,0.34665042,0.061485115,0.20229425,0.23050778,-0.29954222,-0.021387246,0.10787468,0.00853349,0.15024866,0.38746518,0.0825255,-0.2022763,0.05833751,0.27817777,-0.043722115,-0.20150478,0.020693313,0.06939994,0.07616924,0.039674304,-0.11198181,-0.24725711,-0.046984468,0.16227122,-0.017517628,Address
23,0.28357923,-0.049041077,-0.35568678,0.22216202,-0.05129744,-0.023668204,-0.0038557288,0.11588965,0.033659752,0.03925383,-0.010404261,0.046899535,0.16211107,0.045305554,0.14019257,0.27167237,-0.060765784,-0.12934081,-0.100388646,-0.008306985,0.021037614,0.078801654,-0.060466666,-0.1480444,0.009631122,Address
24,-0.7050138,-0.03817384,0.11501809,0.57231915,-0.38287872,-0.085809596,0.44182184,0.115070894,0.23006004,0.20407331,-0.1967904,-0.22653976,-0.0787496,-0.0057469015,0.43018803,0.046206117,0.09326601,-0.20300116,0.05577218,-0.1160645,-0.0038993622,0.041043893,-0.031399574,-0.022699233,-0.01435606,Address
25,0.33521727,-0.09434254,-0.1990948,0.0973502,0.053770915,-0.109288596,0.079559624,-0.19282603,-0.042073637,0.10391037,-0.13422576,0.06340669,-0.1569852,0.17660011,0.034338817,-0.06557882,0.10919169,-0.08039932,-0.022594534,0.09823102,-0.013999806,-0.13666186,0.078320205,0.052331172,0.028060272,Address
26,-0.13150387,-0.26984367,0.07054373,0.35284585,-0.03415741,0.47670943,0.15260589,-0.1675502,-0.07815011,-0.23563452,0.016775485,-0.15942717,0.19957484,0.00014022853,-0.06967349,0.08075879,0.07256901,-0.048057128,-0.10019908,-0.046728767,-0.097061574,0.039386112,-0.06367344,-0.016931908,-0.045193605,Address
27,-0.22967121,0.0073388857,0.20104331,-0.34075493,-0.07145847,-0.3783817,-0.18362392,0.09111716,0.32436,-0.18663764,0.07799084,0.06238719,0.25202474,0.12254316,-0.060126852,0.049080286,0.013431278,0.20672545,-0.019645019,0.20492199,-0.045765646,0.027756277,-0.018517276,-0.048771106,0.0579361,Address
28,-0.09157356,0.23803836,-0.07415171,-0.38693905,0.3033936,0.4180094,0.3288442,0.18043582,0.16822316,0.14823896,-0.034251366,0.20485877,-0.12098611,-0.00902352,-0.024969777,-0.0060103172,-0.06003055,0.10034303,-0.032056723,0.005604942,0.030577274,-0.029632417,0.042675886,-0.067547694,-0.03929372,Address
29,-0.02135548,-0.20573173,-0.34395275,-0.3306534,0.014662481,0.1678028,-0.10249144,0.0015017553,0.047009546,0.028152565,0.16402037,0.24526094,-0.06957633,-0.088835835,-0.06311185,-0.106230274,0.000819313,-0.022827553,-0.08468985,-0.027649816,0.039882723,-0.00664576,-0.11674414,0.033827756,0.04971266,Address
30,0.19195744,-0.12595041,-0.38028476,-0.29267886,-0.22097738,0.20715013,0.01448152,-0.26600456,0.07109472,0.0028584204,-0.0019921367,0.03430764,0.039636523,0.021257456,0.02513003,0.040896647,0.021786636,0.033061273,0.017546257,-0.022508364,0.04435561,0.040062923,-0.037818823,0.0026564272,-0.008634622,Address
31,0.2819323,-0.23628142,-0.10631742,0.039226867,-0.02337219,-0.20119083,-0.08974031,0.1331941,-0.15405284,0.17933841,-0.010745375,-0.01469465,-0.17368215,-0.01250782,-0.04384519,-0.01154201,0.13299628,0.03992167,-0.07674398,0.044598248,0.047920007,-0.030116186,-0.0033635034,0.033473346,-0.019144531,Address
32,-0.16984348,-0.031938042,-0.13554195,0.26001853,0.036968213,-0.19482292,0.2569817,-0.052167356,-0.18872112,0.0946804,0.22480996,0.06259119,-0.0005903226,-0.17792344,-0.17610426,0.019331928,-0.07069333,-0.033394042,-0.11574105,0.18255137,0.0034008469,0.06724807,0.115400136,0.13625167,-0.05475722,Address
33,-0.037779428,0.15526749,-0.4323031,0.0625274,-0.023734832,0.021743154,0.16290459,-0.13077317,-0.16364652,-0.14332223,0.16250585,-0.13782093,0.08366805,-0.2826923,-0.0051789437,-0.10434639,-0.036455605,-0.09759578,0.09246666,0.19360328,-0.019627247,-0.0076907994,0.15060863,0.032702126,0.019403446,Address
34,0.045776792,0.11805501,-0.29553932,0.07116922,0.011193021,0.24224018,-0.2176661,0.14921057,-0.33760765,-0.34351,-0.102778845,-0.21577306,-0.16954464,-0.115793444,-0.16385144,-0.16027741,-0.06366374,-0.01126673,0.17570402,0.18456377,0.06924887,-0.051203698,-0.10669971,-0.11307865,-0.004420718,Address
